review_id,text_source,confianca_extracao,elegivel,motivo_exclusao
r4e3276722680c3612bd6214bb9a1c025,abstract,0.72,incluir,
rdc057229f279694434a3a3b44a95eef7,abstract,0.82,incluir,
r8b4b958d4332dc33092a9b64efc5cc59,abstract,0.82,incluir,
r98e0e630837d8ccf899c8e3aea3697c8,abstract,0.82,incluir,
re6ba941753bec10124a432ddf8c988ec,abstract,0.72,incluir,
r4a6520daa831bfbdf2a09a6e74e8bc4f,abstract,0.82,incluir,
r29dff130cb82edadb6ec0c01aa49d91c,abstract,0.62,incluir,
rb1e3b283cd76d2fd64204db786764c79,abstract,0.82,incluir,
r73adbc5ed1d0948e78cf3f3c6d749ad6,abstract,0.78,incluir,
r7146835a8b7cb6c6af3b7454ee5cbff3,abstract,0.82,incluir,
r05d53645241553282571d273298b5864,abstract,0.62,incluir,
r23a9045f05257fdb95d2b36160787033,abstract,0.62,incluir,
rfb200f0b5c762020b283427be4d7a381,abstract,0.78,incluir,
r631e0bea30f950579a52da1bad66edb8,abstract,0.78,incluir,
r6bb6f6ccb76a57d78d5ba042e9a4098d,abstract,0.62,incluir,
rba885dbacde63f39d9b4f41a441fc058,abstract,0.78,incluir,
r8ecc9d8db115c12450eaea65f785b81c,abstract,0.72,incluir,
r64accc7033e9f0b04ba35f2794330ea3,abstract,0.78,incluir,
rcaeb0f16c55678ec6d3f4e7634a0c688,abstract,0.45,incluir,
r3404cda99ba617b71f4dc72adf3e2536,abstract,0.72,incluir,
rf2066695cbc6c65942f3d6de29913b74,abstract,0.62,incluir,
r1424e02a0cf50eb3953fa687e45a08d4,abstract,0.72,incluir,
rbb20c3e3ea8361e0e91891681897912a,abstract,0.82,incluir,
r055dd7230c7190b4895212158f27f8bf,abstract,0.72,incluir,
r7e1e08cd9e4c07ab8ef79cef9c23c1e1,abstract,0.72,incluir,
rdf534df784cdfb3d73ddc88a2f30d892,abstract,0.82,incluir,
r2aee9cd9dd3421aa93657ccf182d75ec,abstract,0.72,incluir,
rd629a5413a783e40b6db08c77480dfbd,abstract,0.82,incluir,
r5fa7bf09e185ba5deadf2bf68cc46d8f,abstract,0.72,incluir,
rf9a67ea71638c7313ed5543a5b89e5f6,abstract,0.82,incluir,
ra6c934d53c3f20c3dc75e30639a0cc49,abstract,0.82,incluir,
rf0a91aadba788f8e401d1dc523f33608,abstract,0.82,incluir,
r844f65496a47b808ed48e05dc29e0318,abstract,0.82,incluir,
re5765f101db8eed1a091c39fd4a7428c,abstract,0.72,incluir,
r57037c09d4ee61d2f219b39c9c7bb380,abstract,0.62,incluir,
rec883a0ef47640e6f920f572675ce3e0,abstract,0.82,incluir,
r007d226914db82354424795427532d98,abstract,0.82,incluir,
r5161e981530985d43b4b8de3140aa0b9,abstract,0.82,incluir,
rbcee7a577d77fae9b4b9464648041fdc,abstract,0.72,incluir,
r91a83fb7fcccf60f0b84c09f5dd4f8b7,abstract,0.82,incluir,
r50fb5d4b7720becd06493803395871e8,abstract,0.62,incluir,
r6a643b04cf404e7f825bf192b846b947,abstract,0.82,incluir,
ra368e8e723cced815c398c78f0cb51ed,abstract,0.72,incluir,
r71e884dc1296dc5fd98526a87402c66e,pdf,0.82,incluir,
re089351da5ba679f8522672b6097acb8,abstract,0.62,incluir,
r3bba6aee9bd52c948817d7b2b875de8a,abstract,0.82,incluir,
ra12e871f4fe96c9bd6f2b53d5bac2c75,pdf,0.78,incluir,
r4f48a9346e2513bc910d0dab10b853cc,abstract,0.82,incluir,
r776b884e75987ee00232f19b382466b0,abstract,0.72,incluir,
r7d3419c45b5bd6185c87269e26667d6c,abstract,0.82,incluir,
r6f209158a178c3a0fc9db70dfd37052d,abstract,0.85,incluir,
