review_id,year,title,doi,text_source,pre_pos_chatgpt_llm,pre_pos_chatgpt_auditoria,pre_pos_chatgpt_correto,janela_llm,janela_auditoria,janela_correto,sinal_efeito_llm,sinal_efeito_auditoria,sinal_efeito_correto,tipo_estudo_llm,tipo_estudo_auditoria,tipo_estudo_correto,polarizacao_llm,polarizacao_auditoria,polarizacao_correto,score_qualidade_llm,score_qualidade_auditoria,score_qualidade_correto,nota_auditoria
r6a643b04cf404e7f825bf192b846b947,2026,Artificial intelligence investment and corporate labour demand: evidence from corporate hiring,10.1080/13504851.2026.2629456,abstract,pos,,,2022-2026,,,positivo,,,firma/freelancer,,,baixa-quali em risco,,,3,,,
r000bbdb311cdb42cc65e791c9997e416,2023,Does digital transformation increase the labor income share? From a perspective of resources reallocation,10.1016/j.econmod.2023.106474,abstract,pre,,,2018-2022,,,negativo,,,firma/freelancer,,,n/a,,,3,,,
r2cdc1e3b1970d95b8202c3734be8fbe6,2025,Routine-Biased Technological Change and Endogenous Skill Investments,10.1257/pol.20220407,abstract,pos,,,2022-2026,,,ambíguo,,,teórico/modelo,,,baixa-quali em risco,,,4,,,
r4d78f9378f798dded47e26c3fba7c5d8,2026,Does the application of artificial intelligence enhance the labor income share? — Evidence from China’s listed companies,10.1016/j.asieco.2026.102150,abstract,pos,,,2022-2026,,,positivo,,,firma/freelancer,,,baixa-quali em risco,,,3,,,
r9831ac0c948d32b859e758d592f2aa01,2019,How can robots affect wage inequality?,10.1016/j.econmod.2018.12.015,abstract,pre,,,2018-2022,,,negativo,,,teórico/modelo,,,baixa-quali em risco,,,3,,,
rbeaa72e9879268d795679a4fa0e01122,2024,Drinking in despair: Unintended consequences of automation in China,10.1002/hec.4865,abstract,pos,,,2022-2026,,,negativo,,,exposição ocupacional,,,baixa-quali em risco,,,4,,,
r7aaa3dcdcf0b9c2bf63cefd981188dd7,2026,"The impact of artificial intelligence adoption on labor cost stickiness:
   Firm-level evidence from China",10.1016/j.eap.2026.02.024,abstract,pre,,,2022-2026,,,negativo,,,firma/freelancer,,,baixa-quali em risco,,,3,,,
r71d59d3a59e4a78d56daa7a7f3c6fe0a,2021,Robots and employment: evidence from Italy,10.1007/s40888-021-00223-x,abstract,pre,,,2018-2022,,,ambíguo,,,evidência macro/setorial,,,n/a,,,4,,,
r9af2707895b9125e8eaf43b81d74aa33,2024,Robots and the rise of European superstar firms,10.1016/j.ijindorg.2024.103085,abstract,pre,,,2013-2017,,,ambíguo,,,evidência macro/setorial,,,ambos,,,3,,,
r197e0fedb18525912ca2af07e8863cb9,2024,The impact of AI on the workforce: Tasks versus jobs?,10.1016/j.econlet.2024.111971,abstract,pos,,,2022-2026,,,ambíguo,,,firma/freelancer,,,n/a,,,3,,,
r3bba6aee9bd52c948817d7b2b875de8a,2026,Automation-skill complementarity: the returns to soft skills in different stages of technology adoption,10.1080/10438599.2025.2468458,abstract,pos,,,2022-2026,,,positivo,,,firma/freelancer,,,baixa-quali em risco,,,4,,,
r9f065af4bb700367ae1ebf1e7653502b,2022,"AUTOMATION, STAGNATION, AND THE IMPLICATIONS OF A ROBOT TAX",10.1017/s1365100520000139,abstract,pre,,,2018-2022,,,negativo,,,teórico/modelo,,,n/a,,,3,,,
r82abd757ce6f1f4019f6d8e3c348fc78,2026,"Truck drivers and automation: A methodology for identifying and
   supporting workforce transition in the Australian road freight sector",10.1016/j.tranpol.2025.103907,abstract,pos,,,2022-2026,,,ambíguo,,,exposição ocupacional,,,baixa-quali em risco,,,3,,,
ra4528001a8c706905a53ab407c7cf1a6,2025,AI-driven unemployment risk and household financial decision: Evidence from China,10.1016/j.asieco.2025.101963,abstract,pre,,,2018-2022,,,positivo,,,exposição ocupacional,,,alta-quali em risco,,,3,,,
r1c42894112417c19a64b137bd443b195,2024,Does robotization improve the skill structure? The role of job displacement and structural transformation,10.1080/00036846.2023.2206623,abstract,pre,,,2018-2022,,,ambíguo,,,evidência macro/setorial,,,ambos,,,3,,,
r6250fe4c4aa4944c5f61c2832ff20706,2024,Automation and taxation,10.1093/oep/gpae006,abstract,pos,,,2022-2026,,,ambíguo,,,evidência macro/setorial,,,n/a,,,3,,,
rff54b66b3fb2c0937c71afc49ea7f4b2,2020,"Artificial Intelligence, Its Corporate Use and How It Will Affect the Future of Work",10.1007/978-3-030-46143-0_14,abstract,pre,,,2018-2022,,,ambíguo,,,firma/freelancer,,,baixa-quali em risco,,,3,,,
r4f48a9346e2513bc910d0dab10b853cc,2025,Robots and firm investment,10.1016/j.jfineco.2025.104183,abstract,pos,,,2022-2026,,,ambíguo,,,evidência macro/setorial,,,n/a,,,4,,,
r3e5afbaa470fd481a3f942420ffc2e38,2026,Tech for Good: The employment effects of policy-driven artificial intelligence development,10.1016/j.iref.2025.104807,abstract,pos,,,2022-2026,,,positivo,,,firma/freelancer,,,alta-quali em risco,,,3,,,
r0afa0bf524facf743cf6c52685014ccc,2026,Do the Long-term Unemployed Benefit from Automated Occupational Advice during Online Job Search?,10.1093/ej/ueaf041,abstract,pos,,,2022-2026,,,positivo,,,firma/freelancer,,,n/a,,,5,,,
r13d34ee606e2045741fd5fae23bfbcbe,2026,Automation from fires: Evidence from China,10.1016/j.eneco.2025.109055,abstract,pos,,,2022-2026,,,positivo,,,firma/freelancer,,,baixa-quali em risco,,,4,,,
r308d77686e7742144323c1c7126214a1,2026,Automation and Polarization,10.1086/739330,abstract,pos,,,2022-2026,,,ambíguo,,,teórico/modelo,,,ambos,,,4,,,
rd61bf98c6df0ea7f1781d57fa79970b4,2024,THE EVOLUTION OF TECHNOLOGICAL SUBSTITUTION IN LOW-WAGE LABOR MARKETS,10.1162/rest_a_01222,abstract,pre,,,2018-2022,,,negativo,,,evidência macro/setorial,,,baixa-quali em risco,,,4,,,
r237453b25c31ea58f0391614921c77d1,2019,The Fourth Industrial Revolution and the Development of Artificial Intelligence,10.1007/978-981-13-6462-4_14,abstract,pre,,,2018-2022,,,ambíguo,,,teórico/modelo,,,n/a,,,2,,,
rcd4d4755fce64e9da5d862ae765c94b6,2021,Local Government,10.1007/978-981-16-1614-3_9,abstract,pre,,,2018-2022,,,ambíguo,,,survey/revisão,,,n/a,,,2,,,
rbd57b9e6bc76762ba08a18c643532090,2025,AI and Workforce Transformation: Impact Across Industries,10.4018/979-8-3693-8049-9ch013,abstract,pos,,,2022-2026,,,ambíguo,,,survey/revisão,,,n/a,,,2,,,
